"Suburb","Address","Rooms","Distance","Lattitude","Longtitude","SellerG","Date","Postcode","Bedroom2","Bathroom","YearBuilt","CouncilArea","CarImp","LandsizeImp","sqrt_distance_std","log_landsize_std","lattitude_std","longtitude_std","log_room_land_std","rooms_cat","year_built_cat","car_cat","Regionname","Type","Method","bath_cat","bed_cat","sell_rate_cat","may_have_water","Price","log_price","price_label","price_label_high","kmeans_cluster"
"Malvern","35 Evandale Rd",3,7.4,-37.8644,145.0302,"Jellis","7/11/2016",3144,3,2,NA,"Stonnington",0,258,-0.386764754138635,-0.688423447604593,-0.690654637998839,0.333729524256469,0.787244114765827,"Medianas","Desconocido","Pocas_plazas","Southern_Metropolitan","h","S","Muchos_baños","Pocos_dormitorios","Menos_populares","TRUE",1895000,6.27760921430409,TRUE,TRUE,3
"Heidelberg West","16 Achilles St",3,9.4,-37.7344,145.044,"Ray","23/04/2016",3081,3,1,1960,"Banyule",1,368,0.00614552208592741,-0.207436146257501,0.945704120559551,0.466542296329537,0.312077654659042,"Medianas","Antigua","Pocas_plazas","Eastern_Metropolitan","h","PI","Pocos_baños","Pocos_dormitorios","Más_populares","FALSE",1375000,6.13830269816628,TRUE,TRUE,1
"Essendon","6/10 Violet St",1,7.5,-37.75547,144.91327,"Nelson","22/07/2017",3040,1,1,NA,"Moonee Valley",1,381,-0.365941248179525,-0.160415399319815,0.680488127922417,-0.791618116219693,-1.20435260476676,"Pequeñas","Desconocido","Pocas_plazas","Western_Metropolitan","u","S","Pocos_baños","Pocos_dormitorios","Más_populares","FALSE",326000,5.51321760006794,FALSE,FALSE,1
"Niddrie","48 Ida St",4,10.4,-37.74549,144.88666,"Barry","24/06/2017",3042,4,2,NA,"Moonee Valley",2,650,0.186842359105374,0.563080877360417,0.80611013107951,-1.04771578758717,-0.064186820520639,"Grandes","Desconocido","Muchas_plazas","Western_Metropolitan","h","S","Muchos_baños","Muchos_dormitorios","Más_populares","FALSE",1315000,6.11892575282578,TRUE,FALSE,5
"Sunshine","69a Monash St",2,12.6,-37.7895,144.8385,"Barry","7/11/2016",3020,2,1,NA,"Brimbank",1,234,0.555991366092782,-0.820667254027828,0.252139754432175,-1.51121311389609,0.375362179021158,"Pequeñas","Desconocido","Pocas_plazas","Western_Metropolitan","u","S","Pocos_baños","Pocos_dormitorios","Más_populares","FALSE",470000,5.67209785793572,FALSE,FALSE,1
"Frankston South","90 Yuille St",4,38,-38.16227,145.1208,"Bowman","29/07/2017",3199,4,2,2009,"Frankston",2,694,3.52828964186021,0.651795050644423,-4.44005604885862,1.20567424526124,-0.15182738725203,"Grandes","Moderna","Muchas_plazas","South_Eastern_Metropolitan","h","S","Muchos_baños","Muchos_dormitorios","Menos_populares","TRUE",945000,5.97543180850926,TRUE,FALSE,4
"North Melbourne","12/700 Queensberry St",2,2.3,-37.8022,144.9439,"Nelson","16/04/2016",3051,2,1,2000,"Melbourne",2,88,-1.75507525095775,-2.14527186067632,0.0922800910960598,-0.496831506899283,1.68393660545515,"Pequeñas","Moderna","Muchas_plazas","Northern_Metropolitan","u","S","Pocos_baños","Pocos_dormitorios","Menos_populares","FALSE",606000,5.78247262416629,FALSE,FALSE,1
"Brunswick","38 Stewart St",3,5.2,-37.7639,144.966,"Nelson","28/05/2016",3056,3,1,NA,"Moreland",1,480,-0.886863998754114,0.152438380372956,0.574376556117478,-0.284138589303235,-0.0434417206398116,"Medianas","Desconocido","Pocas_plazas","Northern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Más_populares","FALSE",1317000,6.11958577496178,TRUE,FALSE,1
"Coburg","105 Moreland Rd",3,7.8,-37.7561,144.9718,"Nicholson","8/10/2016",3058,3,1,1930,"Moreland",1,370,-0.304290130513396,-0.200095081240633,0.672558081630929,-0.228318728576719,0.304825430187191,"Medianas","Antigua","Pocas_plazas","Northern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Menos_populares","FALSE",812000,5.90955602924118,FALSE,FALSE,1
"Newport","2/29 Maddox Rd",3,8.4,-37.8436,144.8691,"Williams","16/04/2016",3015,3,2,2007,"Hobsons Bay",2,681,-0.184447098139783,0.626183376459802,-0.428837236629486,-1.21671522799387,-0.511453520854567,"Medianas","Moderna","Muchas_plazas","Western_Metropolitan","t","S","Muchos_baños","Pocos_dormitorios","Más_populares","TRUE",735000,5.8662873390842,FALSE,FALSE,3
