"Suburb","Address","Rooms","Distance","Lattitude","Longtitude","SellerG","Date","Postcode","Bedroom2","Bathroom","YearBuilt","CouncilArea","CarImp","LandsizeImp","sqrt_distance_std","log_landsize_std","lattitude_std","longtitude_std","rooms_cat","year_built_cat","car_cat","Regionname","Type","Method","bath_cat","bed_cat","sell_rate_cat","Price","log_price","price_label","price_label_high"
"Abbotsford","85 Turner St",2,2.5,-37.7996,144.9984,"Biggin","3/12/2016",3067,2,1,NA,"Yarra",1,202,-1.68306776251699,-1.0123962222569,0.124783933488419,0.0271534875829267,"Pequeñas","Desconocido","Pocas_plazas","Northern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Menos_populares",1480000,6.17026171539496,TRUE,TRUE
"Abbotsford","5 Charles St",3,2.5,-37.8093,144.9944,"Biggin","4/03/2017",3067,3,2,1900,"Yarra",0,134,-1.68306776251699,-1.56071453038992,0.00301620660069743,-0.0113505361164481,"Medianas","Antigua","Pocas_plazas","Northern_Metropolitan","h","SP","Muchos_baños","Pocos_dormitorios","Menos_populares",1465000,6.16583762469013,TRUE,TRUE
"Abbotsford","40 Federation La",3,2.5,-37.7969,144.9969,"Biggin","4/03/2017",3067,3,2,NA,"Yarra",1,94,-1.68306776251699,-2.03437513060613,0.158678043034444,0.0127144786956953,"Medianas","Desconocido","Pocas_plazas","Northern_Metropolitan","h","PI","Muchos_baños","Pocos_dormitorios","Menos_populares",850000,5.92941892571429,FALSE,FALSE
"Abbotsford","129 Charles St",2,2.5,-37.8041,144.9953,"Jellis","7/05/2016",3067,2,1,NA,"Yarra",0,181,-1.68306776251699,-1.15904625826055,0.0682937509116521,-0.00268713078432818,"Pequeñas","Desconocido","Pocas_plazas","Northern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Menos_populares",941000,5.97358962342726,TRUE,FALSE
"Abbotsford","124 Yarra St",3,2.5,-37.8024,144.9993,"Nelson","7/05/2016",3067,4,2,1910,"Yarra",0,245,-1.68306776251699,-0.754567180152392,0.0896344865517582,0.0358168929153202,"Medianas","Antigua","Pocas_plazas","Northern_Metropolitan","h","S","Muchos_baños","Muchos_dormitorios","Menos_populares",1876000,6.27323283404305,TRUE,TRUE
"Abbotsford","98 Charles St",2,2.5,-37.806,144.9954,"Nelson","8/10/2016",3067,2,1,1890,"Yarra",2,256,-1.68306776251699,-0.695892513553825,0.0444423404903623,-0.00172453019180961,"Pequeñas","Antigua","Muchas_plazas","Northern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Menos_populares",1636000,6.2137832993353,TRUE,TRUE
"Abbotsford","6/241 Nicholson St",1,2.5,-37.8008,144.9973,"Biggin","8/10/2016",3067,1,1,NA,"Yarra",1,168,-1.68306776251699,-1.25861998887476,0.109719884801228,0.016564881065496,"Pequeñas","Desconocido","Pocas_plazas","Northern_Metropolitan","u","S","Pocos_baños","Pocos_dormitorios","Menos_populares",3e+05,5.47712125471966,FALSE,FALSE
"Abbotsford","10 Valiant St",2,2.5,-37.801,144.9989,"Biggin","8/10/2016",3067,3,1,1900,"Yarra",2,220,-1.68306776251699,-0.89835824323513,0.107209210020044,0.031966490545246,"Pequeñas","Antigua","Muchas_plazas","Northern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Menos_populares",1097000,6.04020662757471,TRUE,FALSE
"Abbotsford","411/8 Grosvenor St",2,2.5,-37.811,145.0067,"Jellis","12/11/2016",3067,2,2,NA,"Yarra",1,209,-1.68306776251699,-0.966884414511186,-0.0183245290394086,0.107049336759232,"Pequeñas","Desconocido","Pocas_plazas","Northern_Metropolitan","u","VB","Muchos_baños","Pocos_dormitorios","Menos_populares",7e+05,5.84509804001426,FALSE,FALSE
"Abbotsford","40 Nicholson St",3,2.5,-37.8085,144.9964,"Nelson","12/11/2016",3067,3,2,2005,"Yarra",2,214,-1.68306776251699,-0.935299788804089,0.0130589057254322,0.00790147573310249,"Medianas","Moderna","Muchas_plazas","Northern_Metropolitan","h","VB","Muchos_baños","Pocos_dormitorios","Menos_populares",1350000,6.13033376849501,TRUE,TRUE
"Abbotsford","123/56 Nicholson St",2,2.5,-37.8078,144.9965,"Biggin","12/11/2016",3067,2,2,2009,"Yarra",1,214,-1.68306776251699,-0.935299788804089,0.0218462674596198,0.00886407632562106,"Pequeñas","Moderna","Pocas_plazas","Northern_Metropolitan","u","S","Muchos_baños","Pocos_dormitorios","Menos_populares",750000,5.8750612633917,FALSE,FALSE
"Abbotsford","45 William St",2,2.5,-37.8084,144.9973,"Biggin","13/08/2016",3067,2,1,NA,"Yarra",1,195,-1.68306776251699,-1.05951330747087,0.0143142431160687,0.016564881065496,"Pequeñas","Desconocido","Pocas_plazas","Northern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Menos_populares",1172500,6.06911285138712,TRUE,FALSE
"Abbotsford","7/20 Abbotsford St",1,2.5,-37.8016,144.9988,"Greg","14/05/2016",3067,1,1,NA,"Yarra",1,182,-1.68306776251699,-1.15168553748247,0.099677185676493,0.0310038899527274,"Pequeñas","Desconocido","Pocas_plazas","Northern_Metropolitan","u","SP","Pocos_baños","Pocos_dormitorios","Menos_populares",441000,5.64443858946784,FALSE,FALSE
"Abbotsford","16 William St",2,2.5,-37.809,144.9976,"Jellis","15/10/2016",3067,2,1,1890,"Yarra",2,238,-1.68306776251699,-0.793293585628302,0.00678221877251758,0.0194526828430517,"Pequeñas","Antigua","Muchas_plazas","Northern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Menos_populares",1310000,6.11727129565576,TRUE,FALSE
"Abbotsford","42 Henry St",3,2.5,-37.8056,144.993,"Jellis","16/07/2016",3067,3,2,1880,"Yarra",1,113,-1.68306776251699,-1.78843282768713,0.0494636900527297,-0.0248269444114345,"Medianas","Antigua","Pocas_plazas","Northern_Metropolitan","h","S","Muchos_baños","Pocos_dormitorios","Menos_populares",1200000,6.07918124604763,TRUE,FALSE
"Abbotsford","78 Yarra St",3,2.5,-37.8021,144.9965,"LITTLE","16/07/2016",3067,2,1,1890,"Yarra",1,138,-1.68306776251699,-1.52141853742227,0.0934004987234891,0.00886407632562106,"Medianas","Antigua","Pocas_plazas","Northern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Menos_populares",1176500,6.07059193151204,TRUE,FALSE
"Abbotsford","42 Valiant St",2,2.5,-37.8011,145.0004,"Biggin","17/09/2016",3067,2,1,1985,"Yarra",1,150,-1.68306776251699,-1.41002342264841,0.105953872629497,0.0464054994327509,"Pequeñas","Moderna","Pocas_plazas","Northern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Menos_populares",890000,5.94939000664491,FALSE,FALSE
"Abbotsford","3/72 Charles St",4,2.5,-37.8073,144.9952,"Kay","18/03/2017",3067,4,2,1900,"Yarra",2,780,-1.68306776251699,0.792530823509906,0.0281229544126237,-0.00364973137657316,"Grandes","Antigua","Muchas_plazas","Northern_Metropolitan","h","PI","Muchos_baños","Muchos_dormitorios","Menos_populares",1330000,6.12385164096709,TRUE,FALSE
"Abbotsford","13/11 Nicholson St",3,2.5,-37.8093,144.9959,"Beller","18/03/2017",3067,3,2,2010,"Yarra",2,214,-1.68306776251699,-0.935299788804089,0.00301620660069743,0.00308847277078324,"Medianas","Moderna","Muchas_plazas","Northern_Metropolitan","t","S","Muchos_baños","Pocos_dormitorios","Menos_populares",9e+05,5.95424250943933,FALSE,FALSE
"Abbotsford","138/56 Nicholson St",3,2.5,-37.8078,144.9965,"Jellis","18/03/2017",3067,3,2,NA,"Yarra",2,4290,-1.68306776251699,3.07001877093279,0.0218462674596198,0.00886407632562106,"Medianas","Desconocido","Muchas_plazas","Northern_Metropolitan","u","S","Muchos_baños","Pocos_dormitorios","Menos_populares",1090000,6.03742649794062,TRUE,FALSE
"Abbotsford","6/219 Nicholson St",2,2.5,-37.8015,144.9972,"Collins","18/06/2016",3067,2,1,1970,"Yarra",1,168,-1.68306776251699,-1.25861998887476,0.100932523067129,0.0156022804729775,"Pequeñas","Antigua","Pocas_plazas","Northern_Metropolitan","u","S","Pocos_baños","Pocos_dormitorios","Menos_populares",5e+05,5.69897000433602,FALSE,FALSE
"Abbotsford","52a William St",2,2.5,-37.8079,144.9977,"Biggin","18/06/2016",3067,2,2,2013,"Yarra",1,124,-1.68306776251699,-1.66432980630684,0.0205909300690725,0.0204152834355703,"Pequeñas","Moderna","Pocas_plazas","Northern_Metropolitan","h","PI","Muchos_baños","Pocos_dormitorios","Menos_populares",1100000,6.04139268515823,TRUE,FALSE
"Abbotsford","49 Park St",2,2.5,-37.808,144.994,"Marshall","19/11/2016",3067,2,1,1900,"Yarra",0,147,-1.68306776251699,-1.43701358185753,0.0193355926784361,-0.0152009384865224,"Pequeñas","Antigua","Pocas_plazas","Northern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Menos_populares",1315000,6.11892575282578,TRUE,FALSE
"Abbotsford","48 Abbotsford St",3,2.5,-37.8017,145.0001,"Nelson","22/08/2016",3067,3,3,2012,"Yarra",1,166,-1.68306776251699,-1.27461979018799,0.0984218482859457,0.0435176976551952,"Medianas","Moderna","Pocas_plazas","Northern_Metropolitan","h","PI","Muchos_baños","Pocos_dormitorios","Menos_populares",1447500,6.16061857239947,TRUE,TRUE
"Abbotsford","116/56 Nicholson St",1,2.5,-37.8078,144.9965,"Jellis","22/08/2016",3067,1,1,NA,"Yarra",1,214,-1.68306776251699,-0.935299788804089,0.0218462674596198,0.00886407632562106,"Pequeñas","Desconocido","Pocas_plazas","Northern_Metropolitan","u","S","Pocos_baños","Pocos_dormitorios","Menos_populares",457000,5.65991620006985,FALSE,FALSE
"Abbotsford","159 Park St",2,2.5,-37.8005,144.9952,"Nelson","22/08/2016",3067,2,2,1920,"Yarra",2,98,-1.68306776251699,-1.97870176500976,0.113485896973048,-0.00364973137657316,"Pequeñas","Antigua","Muchas_plazas","Northern_Metropolitan","h","S","Muchos_baños","Pocos_dormitorios","Menos_populares",1135000,6.05499586152914,TRUE,FALSE
"Abbotsford","31 Turner St",4,2.5,-37.7994,144.9965,"Collins","24/09/2016",3067,4,3,NA,"Yarra",1,138,-1.68306776251699,-1.52141853742227,0.127294608269603,0.00886407632562106,"Grandes","Desconocido","Pocas_plazas","Northern_Metropolitan","h","S","Muchos_baños","Muchos_dormitorios","Menos_populares",1542000,6.18808437371494,TRUE,TRUE
"Abbotsford","166 Gipps St",3,2.5,-37.805,144.9943,"Biggin","25/02/2017",3067,3,2,NA,"Yarra",2,147,-1.68306776251699,-1.43701358185753,0.0569957143962808,-0.0123131367089667,"Medianas","Desconocido","Muchas_plazas","Northern_Metropolitan","h","S","Muchos_baños","Pocos_dormitorios","Menos_populares",1290000,6.11058971029925,TRUE,FALSE
"Abbotsford","60 Stafford St",3,2.5,-37.8007,144.9958,"Biggin","25/02/2017",3067,3,1,1950,"Yarra",1,168,-1.68306776251699,-1.25861998887476,0.110975222191864,0.00212587217826467,"Medianas","Antigua","Pocas_plazas","Northern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Menos_populares",1290000,6.11058971029925,TRUE,FALSE
"Abbotsford","47 Studley St",2,2.5,-37.8016,144.9956,"Jellis","27/11/2016",3067,2,1,1900,"Yarra",0,162,-1.68306776251699,-1.30720597741608,0.099677185676493,0.000200670993227529,"Pequeñas","Antigua","Pocas_plazas","Northern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Menos_populares",1180000,6.07188200730613,TRUE,FALSE
"Abbotsford","45 Yarra St",3,2.5,-37.8022,144.9954,"Jellis","27/11/2016",3067,3,2,1998,"Yarra",1,120,-1.68306776251699,-1.70813594201539,0.0921451613329419,-0.00172453019180961,"Medianas","Moderna","Pocas_plazas","Northern_Metropolitan","h","SP","Muchos_baños","Pocos_dormitorios","Menos_populares",1195000,6.07736790528416,TRUE,FALSE
"Abbotsford","200 Nicholson St",2,2.5,-37.8021,144.9976,"Nelson","28/05/2016",3067,2,1,1900,"Yarra",0,182,-1.68306776251699,-1.15168553748247,0.0934004987234891,0.0194526828430517,"Pequeñas","Antigua","Pocas_plazas","Northern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Menos_populares",1012500,6.00539503188671,TRUE,FALSE
"Airport West","154 Halsey Rd",3,13.5,-37.718,144.878,"Nelson","3/09/2016",3042,3,2,2016,"Moonee Valley",1,303,0.692891220952129,-0.470708039104677,1.14913924421369,-1.13181762577113,"Medianas","Moderna","Pocas_plazas","Western_Metropolitan","t","PI","Muchos_baños","Pocos_dormitorios","Más_populares",840000,5.92427928606188,FALSE,FALSE
"Airport West","50 Bedford St",3,13.5,-37.7203,144.8755,"Nelson","4/03/2017",3042,3,2,1965,"Moonee Valley",1,594,0.692891220952129,0.428593786854574,1.12026648423003,-1.15588264058327,"Medianas","Antigua","Pocas_plazas","Western_Metropolitan","h","SP","Muchos_baños","Pocos_dormitorios","Más_populares",770000,5.88649072517248,FALSE,FALSE
"Airport West","23 Hart St",2,13.5,-37.7294,144.888,"Nelson","4/03/2017",3042,2,1,1950,"Moonee Valley",1,272,0.692891220952129,-0.614899992645527,1.00603078168595,-1.03555756652228,"Pequeñas","Antigua","Pocas_plazas","Western_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Más_populares",603000,5.78031731214015,FALSE,FALSE
"Airport West","1/37 Hillside Gr",3,13.5,-37.7273,144.8744,"Maddison","4/03/2017",3042,2,1,1980,"Moonee Valley",1,290,0.692891220952129,-0.529292726417699,1.03239286688842,-1.16647124710043,"Medianas","Moderna","Pocas_plazas","Western_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Más_populares",6e+05,5.77815125038364,FALSE,FALSE
"Airport West","2/49 McIntosh St",2,13.5,-37.7215,144.8864,"Barry","4/03/2017",3042,2,1,2011,"Moonee Valley",1,168,0.692891220952129,-1.25861998887476,1.10520243554293,-1.05095917600203,"Pequeñas","Moderna","Pocas_plazas","Western_Metropolitan","u","VB","Pocos_baños","Pocos_dormitorios","Más_populares",5e+05,5.69897000433602,FALSE,FALSE
