"sqrt_distance","log_landsize","Lattitude","Longtitude","rooms_cat","year_built_cat","car_cat","Regionname","Type","Method","Price","log_price"
-1.67722975010754,-1.00767296436567,0.118430203282188,0.0377832183162591,"Pequeñas","Desconocido","Hasta_1_plaza","Northern_Metropolitan","h","S",1480000,6.17026171539496
-1.67722975010754,-1.35023328493993,0.0136295113127255,-0.0102148224285991,"Pequeñas","Antigua","Hasta_1_plaza","Northern_Metropolitan","h","S",1035000,6.01494034979294
-1.67722975010754,-1.55175172504663,-0.00404771383880198,-0.000615214279572866,"Medianas","Antigua","Hasta_1_plaza","Northern_Metropolitan","h","SP",1465000,6.16583762469013
-1.67722975010754,-2.0217500244405,0.15252199464572,0.0233838060928562,"Medianas","Desconocido","Hasta_1_plaza","Northern_Metropolitan","h","PI",850000,5.92941892571429
-1.67722975010754,-1.69803328768154,0.0224681238883996,-0.00349509672436258,"Grandes","Moderna","2_o_más_plazas","Northern_Metropolitan","h","VB",1600000,6.20411998265593
-1.67722975010754,-1.15318911558513,0.061610551009575,0.00802443305425059,"Pequeñas","Desconocido","Hasta_1_plaza","Northern_Metropolitan","h","S",941000,5.97358962342726
-1.67722975010754,-0.751837433041861,0.0830757529792228,0.0464228656503554,"Medianas","Antigua","Hasta_1_plaza","Northern_Metropolitan","h","S",1876000,6.27323283404305
-1.67722975010754,-1.19032425705175,-0.0255129158084499,0.117459965952713,"Pequeñas","Desconocido","Hasta_1_plaza","Northern_Metropolitan","u","VB",7e+05,5.84509804001426
-1.67722975010754,-0.931172633547328,0.00605355767630533,0.0185840020182067,"Medianas","Moderna","2_o_más_plazas","Northern_Metropolitan","h","VB",1350000,6.13033376849501
-1.67722975010754,-1.26786904344074,0.0931770244943302,0.0416230615757059,"Pequeñas","Desconocido","Hasta_1_plaza","Northern_Metropolitan","u","SP",441000,5.64443858946784
-1.67722975010754,-1.51275956513433,0.0868637297973432,0.0195439628331366,"Medianas","Antigua","Hasta_1_plaza","Northern_Metropolitan","h","S",1176500,6.07059193151204
-1.67722975010754,-1.40222574728965,0.0994903191913171,0.0569824346143115,"Pequeñas","Moderna","Hasta_1_plaza","Northern_Metropolitan","h","S",890000,5.94939000664491
-1.67722975010754,0.783298549104433,0.021205464949056,0.00706447223959353,"Grandes","Antigua","2_o_más_plazas","Northern_Metropolitan","h","PI",1330000,6.12385164096709
-1.67722975010754,-0.931172633547328,-0.00404771383880198,0.01378419794383,"Medianas","Moderna","2_o_más_plazas","Northern_Metropolitan","t","S",9e+05,5.95424250943933
